name,mapping_from,tool_full_name,Interesting_concepts_thesis,status,Status comment,tool_source,homepage_url,repo_url,publication_url,"tool_origin",company_url,Short Description,type,domain,open_source,license
Kurator-Akka,,,no,Active,,Existing Workflow systems,,https://github.com/kurator-org/kurator-akka,https://www.slideshare.net/TimothyMcPhillips/data-cleaning-with-the-kurator-toolkit-bridging-the-gap-between-conventional-scripting-and-highperformance-workflow-automation,Academia,https://mbgocs.mobot.org/index.php/tdwg/2015/paper/view/822,The kurator-akka repository hosts source code for the Kurator-Akka workflow engine component of the Kurator workflow automation toolkit. This software toolkit is being developed as part of the Kurator project and is designed to make it easy to develop and run high-performance data cleaning workflows.,"data flows, workflows, data cleaning",data cleaning workflows,yes,
Jug,,,no,Active,,Existing Workflow systems,https://luispedro.org/software/jug/,http://github.com/luispedro/jug,https://doi.org/10.5334/jors.161,Academia,,"It is a light-weight, Python only, distributed computing framework.
Jug allows you to write code that is broken up into tasks and run
different tasks on different processors. You can also think of it as a
lightweight map-reduce type of system, although it\'s a bit more
flexible (and less scalable).
It has two storage backends: One uses the filesystem to communicate
between processes and works correctly over NFS, so you can coordinate
processes on different machines. The other uses a redis database and all
it needs is for different processes to be able to communicate with a
common redis server.
Jug is a pure Python implementation and should work on any platform.
Python 3 is supported (at least 3.3 and greater).","Parallel programming, Python, Memoization , reproducible computation, High performance computing, Data analysis, Computational science",parallel reproducible computation,yes,
Node-RED,,,no,Active,,Existing Workflow systems,https://nodered.org/,https://github.com/node-red/node-red,,Enterprise,https://emerging-technology.co.uk/,"Node-RED is a programming tool for wiring together hardware devices, APIs and online services in new and interesting ways.
                It provides a browser-based editor that makes it easy
 to wire together flows using the wide range of nodes in the palette 
that can be deployed to its runtime in a single-click.","JavaScript, Node.js, flow editing, workflows",event-driven applications,yes,
Databolt Flow,,,yes,Active,,Existing Workflow systems,https://www.databolt.tech/index-python-pro.html#flow,https://github.com/d6t/d6tflow,,Enterprise,https://www.databolt.tech/,"For data scientists and data engineers, d6tflow is a python library which makes building complex data science workflows easy, fast and intuitive. It is primarily designed for data scientists to build better models faster.
 For data engineers, it can also be a lightweight alternative and help 
productionize data science models faster. Unlike other data 
pipeline/workflow solutions, d6tflow focuses on managing data science research workflows instead of managing production data pipelines.","Python, data science, data engineering, workflow","data science, data engineering",yes,
dataflows,,,no,Active,,Existing Workflow systems,https://www.dataflows.org,https://github.com/datahq/dataflows,,Enterprise,https://www.datopian.com/,,"data pipeline, data processing, small","data engineering, ETL",yes,
Volcano,,,no,Active,,Existing Workflow systems,https://volcano.sh/en/,https://github.com/volcano-sh/volcano,,Community,https://www.cncf.io/blog/2022/04/07/cloud-native-batch-system-volcano-moves-to-the-cncf-incubator/,"Volcano is a batch system built on Kubernetes. It provides a suite of mechanisms that are commonly required by
many classes of batch & elastic workload including: machine learning/deep learning, bioinformatics/genomics and
other ""big data"" applications. These types of applications typically run on generalized domain frameworks like
TensorFlow, Spark, Ray, PyTorch, MPI, etc, which Volcano integrates with.","cloud native, high.performance, workloads, batch scheduling, kubernetes, big data",cloud native batch system,yes,
DataJoint,,,maybe,Active,URL was outdated,Existing Workflow systems,https://www.datajoint.org/,https://github.com/datajoint/datajoint-python,https://doi.org/10.1101/031658,Academia,,"DataJoint is an open-source framework for programming scientific databases with computational workflows.    
 It provides consistent methods for organizing, populating, computing, and querying data.
DataJoint is for pipeline management based on relational principles.
        ","relational data pipelines, workflow, python, database, scientific",scientific workflow managment,yes,
DIRAC3,,,no,Active,,Existing Workflow systems,https://dirac.ac.uk,,https://doi.org/10.1088/1742-6596/219/6/062029,Academia,,,"HPC, grid computing, physics ","Grid computing, HPC",?,
Frictionless Data Package Pipelines,,,no,Active,,Existing Workflow systems,https://frictionlessdata.io/,https://github.com/frictionlessdata/datapackage-pipelines,https://ui.adsabs.harvard.edu/abs/2017AGUFMIN33C0139S/abstract,Academia,,"datapackage-pipelines is a framework for declarative 
stream-processing of tabular data. It is built upon the concepts and 
tooling of the Frictionless Data project.","pipelines, yaml, declerative",data pipelines,yes,
Orange,,,yes,Actuve,,Existing Workflow systems,https://orangedatamining.com/,https://github.com/biolab/orange3,http://jmlr.org/papers/v14/demsar13a.html,Academia,,"Orange is a data mining and visualization toolbox for novice and expert alike. To explore data with Orange, one requires no programming or in-depth mathematical knowledge.
 We believe that workflow-based data science tools democratize data 
science by hiding complex underlying mechanics and exposing intuitive 
concepts. Anyone who owns data, or is motivated to peek into data, 
should have the means to do so.","data analysis, workflow, visualization, interactive",data mining,yes,
Ensemble Toolkit,,,no,Active,,Existing Workflow systems,https://radicalentk.readthedocs.io/en/latest/entk.html,https://github.com/radical-cybertools/radical.entk,https://arxiv.org/abs/1602.00678v2,Academia,,"The Ensemble Toolkit is a Python library for developing and executing
large-scale ensemble-based workflows. It is being developed by the
RADICAL Research Group at Rutgers University.
Ensemble Toolkit is released under the
MIT License.","DAG, workflow, science, ensemble",ensemble-based workflows,yes,
BioQueue,,,no,,,Existing Workflow systems,https://www.bioqueue.org/,https://github.com/liyao001/BioQueue,https://doi.org/10.1093/bioinformatics/btx403,Academia,,"BioQueue is a researcher-facing bioinformatic platform preferentially to
 improve the efficiency and robustness of analysis in bioinformatics 
research by estimating the system resources required by a particular 
job. At the same time, BioQueue also aims to promote the accessibility 
and reproducibility of data analysis in biomedical research. Implemented
 by Python 3.x, BioQueue can work in both POSIX compatible systems (Linux, Solaris, OS X, etc.) and Windows.","pipelines, data analysis, reproducibility, queue system ",bioinformatics,yes,
mlr3pipelines,,,no,Active,,Existing Workflow systems,https://mlr3pipelines.mlr-org.com/,https://github.com/mlr-org/mlr3pipelines/,https://jmlr.org/papers/v22/21-0281.html,Academia,,"mlr3pipelines is a dataflow programming toolkit for machine learning in R utilising the mlr3
 package. Machine learning workflows can be written as directed “Graphs”
 that represent data flows between preprocessing, model fitting, and 
ensemble learning units in an expressive and intuitive language. Using 
methods from the mlr3tuning package, it is even possible to simultaneously optimize parameters of multiple processing units.
In principle, mlr3pipelines is about defining singular data and model manipulation steps as “PipeOps”:","R, pipelines,",R. pipelines,yes,
Kedro,,,maybe,Active,,Existing Workflow systems,https://kedro.org/,https://github.com/kedro-org/kedro,,Enterprise ,https://www.mckinsey.com/about-us/new-at-mckinsey-blog/meet-kedro-mckinseys-first-open-source-software-tool,"Kedro is an open-source Python framework to create 
reproducible, maintainable, and modular data science code. It uses 
software engineering best practices to help you build production-ready 
data engineering and data science pipelines.
Kedro is hosted by the LF AI & Data Foundation.","Project template, data catalog, pipeline, coding standards, flexible deployment, python",data science ,yes,
DATAVIEW,,,no,Inactive,,Existing Workflow systems,http://www.dataview.org/,https://github.com/shiyonglu/DATAVIEW,,Personal?,,"DATAVIEW (www.dataview.org)
 is a big data workflow management system. It uses Dropbox as the data 
cloud and Amazon EC2 as the compute cloud. It also provides a 
workflow_LocalExecutor for users to run their local machine off the 
cloud. Current research focuses on the 1) performance and cost 
optimization for running workflows in clouds and 2) infrastructual-level
 support on GPU-enabled deep learning workflows. For deep learning 
workflows, it currently supports GPU infrastructures including 1) the 
Local NVIDIA GPU of a PC, 2) GPU Xavier and Nano SoMs (System-on-Module)
 and 3) the Heterogeneous GPU Cluster.","big data, wfms, AWS Ec2, Dropbox",big data workflow management system,yes,
